,date,avgTemp,bike_rides_daily
0,2022-01-01,2.0,5125
1,2022-01-02,-4.6,10638
2,2022-01-03,-9.2,8310
3,2022-01-04,-3.6,9271
4,2022-01-05,-4.6,8614
5,2022-01-06,-11.7,11253
6,2022-01-07,-14.4,4290
7,2022-01-08,-8.0,6018
8,2022-01-09,-2.4,5407
9,2022-01-10,-10.6,8715
10,2022-01-11,-10.5,6847
11,2022-01-12,2.3,10036
12,2022-01-13,1.9,12713
13,2022-01-14,0.8,11600
14,2022-01-15,-4.0,5686
15,2022-01-16,-6.9,5314
16,2022-01-17,-3.8,7239
17,2022-01-18,-2.0,10803
18,2022-01-19,-1.1,13414
19,2022-01-20,-10.9,8558
20,2022-01-21,-10.0,8413
21,2022-01-22,-5.0,7966
22,2022-01-23,-7.1,8199
23,2022-01-24,-8.6,10379
24,2022-01-25,-12.4,12783
25,2022-01-26,-16.6,10614
26,2022-01-27,-6.4,10917
27,2022-01-28,-5.8,8677
28,2022-01-29,-10.1,733
29,2022-01-30,-6.3,2343
30,2022-01-31,-1.9,5528
31,2022-02-01,2.8,7325
32,2022-02-02,-3.4,10628
33,2022-02-03,-7.8,6702
34,2022-02-04,-7.4,5095
35,2022-02-05,-10.8,7464
36,2022-02-06,-5.4,7309
37,2022-02-07,-3.7,7628
38,2022-02-08,-4.4,12942
39,2022-02-09,2.4,13886
40,2022-02-10,-0.1,15341
41,2022-02-11,2.4,16165
42,2022-02-12,-5.8,17206
43,2022-02-13,-9.2,5025
44,2022-02-14,-8.4,8514
45,2022-02-15,-2.2,10031
46,2022-02-16,7.6,13384
47,2022-02-17,1.8,16709
48,2022-02-18,-8.3,11817
49,2022-02-19,-7.1,8119
50,2022-02-20,-1.4,7671
51,2022-02-21,4.2,13016
52,2022-02-22,3.4,8948
53,2022-02-23,-5.9,16865
54,2022-02-24,-4.6,11170
55,2022-02-25,-3.7,7704
56,2022-02-26,-6.2,10454
57,2022-02-27,0.2,10852
58,2022-02-28,2.6,11434
59,2022-03-01,6.9,13989
60,2022-03-02,5.2,16686
61,2022-03-03,1.1,13922
62,2022-03-04,0.6,12414
63,2022-03-05,9.2,12891
64,2022-03-06,8.6,13595
65,2022-03-07,1.3,16841
66,2022-03-08,0.1,15581
67,2022-03-09,1.3,7011
68,2022-03-10,-2.3,16514
69,2022-03-11,-4.3,17243
70,2022-03-12,-8.1,4968
71,2022-03-13,-0.3,7678
72,2022-03-14,9.1,15903
73,2022-03-15,6.2,19573
74,2022-03-16,9.7,20529
75,2022-03-17,14.6,12615
76,2022-03-18,7.0,23337
77,2022-03-19,4.3,19326
78,2022-03-20,7.4,16491
79,2022-03-21,13.3,18295
80,2022-03-22,12.1,18926
81,2022-03-23,11.0,15286
82,2022-03-24,7.3,11422
83,2022-03-25,5.2,18575
84,2022-03-26,0.7,15348
85,2022-03-27,-1.7,11340
86,2022-03-28,-1.9,9492
87,2022-03-29,0.8,12096
88,2022-03-30,10.0,15388
89,2022-03-31,6.7,18292
90,2022-04-01,2.6,17041
91,2022-04-02,2.4,18411
92,2022-04-03,4.4,9390
93,2022-04-04,6.7,17308
94,2022-04-05,7.5,18090
95,2022-04-06,10.7,12127
96,2022-04-07,6.1,8593
97,2022-04-08,3.7,22294
98,2022-04-09,3.8,16705
99,2022-04-10,7.3,14347
100,2022-04-11,13.8,18923
101,2022-04-12,12.8,23224
102,2022-04-13,19.1,24590
103,2022-04-14,6.6,22678
104,2022-04-15,7.6,24702
105,2022-04-16,4.9,20779
106,2022-04-17,2.7,13534
107,2022-04-18,2.5,13892
108,2022-04-19,4.6,14727
109,2022-04-20,7.4,21271
110,2022-04-21,12.9,19483
111,2022-04-22,11.2,24093
112,2022-04-23,17.3,23806
113,2022-04-24,21.3,20934
114,2022-04-25,11.8,18193
115,2022-04-26,5.9,18546
116,2022-04-27,3.4,20407
117,2022-04-28,5.6,19479
118,2022-04-29,11.9,21815
119,2022-04-30,14.2,25320
120,2022-05-01,12.6,23746
121,2022-05-02,9.9,13596
122,2022-05-03,9.0,23131
123,2022-05-04,7.8,19841
124,2022-05-05,8.9,27689
125,2022-05-06,9.3,8747
126,2022-05-07,12.1,5156
127,2022-05-08,12.3,15703
128,2022-05-09,18.8,23501
129,2022-05-10,25.1,26112
130,2022-05-11,28.2,26811
131,2022-05-12,27.5,27634
132,2022-05-13,26.7,24260
133,2022-05-14,25.2,19741
134,2022-05-15,21.6,27186
135,2022-05-16,18.4,19905
136,2022-05-17,16.1,29197
137,2022-05-18,12.9,29205
138,2022-05-19,18.8,22519
139,2022-05-20,23.9,21537
140,2022-05-21,15.9,28737
141,2022-05-22,14.2,26168
142,2022-05-23,12.3,25521
143,2022-05-24,13.7,26193
144,2022-05-25,16.5,28569
145,2022-05-26,22.3,27636
146,2022-05-27,15.7,22151
147,2022-05-28,16.1,20724
148,2022-05-29,22.1,25265
149,2022-05-30,25.8,25078
150,2022-05-31,27.0,25229
151,2022-06-01,22.7,22086
152,2022-06-02,19.0,24476
153,2022-06-03,21.0,30155
154,2022-06-04,18.1,31822
155,2022-06-05,18.8,28897
156,2022-06-06,20.3,27456
157,2022-06-07,16.6,25815
158,2022-06-08,16.6,30878
159,2022-06-09,17.0,28941
160,2022-06-10,19.4,30849
161,2022-06-11,18.5,28885
162,2022-06-12,19.2,22662
163,2022-06-13,20.9,27995
164,2022-06-14,27.1,30927
165,2022-06-15,31.5,31908
166,2022-06-16,29.2,25457
167,2022-06-17,26.0,29923
168,2022-06-18,19.8,27336
169,2022-06-19,19.1,26423
170,2022-06-20,25.9,28310
