,start_station_name,end_station_name,trips,start_lat,start_lng,end_lat,end_lng
0,Central Park S & 6 Ave,Central Park S & 6 Ave,3013,40.76590936,-73.97634151,40.76590936,-73.97634151
1,7 Ave & Central Park South,7 Ave & Central Park South,2088,40.7667405590595,-73.9790689945221,40.7667405590595,-73.9790689945221
2,Roosevelt Island Tramway,Roosevelt Island Tramway,2064,40.757284,-73.9536,40.757284,-73.9536
3,Grand Army Plaza & Central Park S,Grand Army Plaza & Central Park S,1820,40.7643971,-73.97371465,40.7643971,-73.97371465
4,Soissons Landing,Soissons Landing,1800,40.69231660719192,-74.01486575603485,40.69231660719192,-74.01486575603485
5,W 21 St & 6 Ave,9 Ave & W 22 St,1647,40.74173969,-73.99415556,40.7454973,-74.00197139
6,5 Ave & E 72 St,5 Ave & E 72 St,1514,40.77282817,-73.96685276,40.77282817,-73.96685276
7,1 Ave & E 62 St,1 Ave & E 68 St,1381,40.7612274,-73.96094022,40.76500525,-73.95818491
8,Broadway & W 58 St,Broadway & W 58 St,1357,40.76695317,-73.98169333,40.76695317,-73.98169333
9,12 Ave & W 40 St,12 Ave & W 40 St,1356,40.76087502,-74.00277668,40.76087502,-74.00277668
10,Yankee Ferry Terminal,Yankee Ferry Terminal,1353,40.68706579875912,-74.01675585121666,40.68706579875912,-74.01675585121666
11,Broadway & W 41 St,Broadway & W 41 St,1333,40.75513557,-73.98658032,40.75513557,-73.98658032
12,Central Park West & W 72 St,Central Park West & W 72 St,1292,40.77579376683666,-73.9762057363987,40.77579376683666,-73.9762057363987
13,West St & Chambers St,West St & Chambers St,1202,40.71754834,-74.01322069,40.71754834,-74.01322069
14,Norfolk St & Broome St,Henry St & Grand St,1199,40.7172274,-73.98802084,40.714211,-73.981095
15,5 Ave & E 87 St,5 Ave & E 87 St,1166,40.782323,-73.959875,40.782323,-73.959875
16,W 21 St & 6 Ave,W 22 St & 10 Ave,1153,40.74173969,-73.99415556,40.74691959,-74.00451887
17,West Drive & Prospect Park West,West Drive & Prospect Park West,1152,40.6610633719006,-73.97945255041122,40.6610633719006,-73.97945255041122
18,Yankee Ferry Terminal,Soissons Landing,1134,40.68706579875912,-74.01675585121666,40.69231660719192,-74.01486575603485
19,Henry St & Grand St,Norfolk St & Broome St,1112,40.714211,-73.981095,40.7172274,-73.98802084
20,North Moore St & Greenwich St,Vesey St & Church St,1111,40.72019521437465,-74.0103006362915,40.71221958009051,-74.01047229766846
21,West St & Chambers St,Pier 40 - Hudson River Park,1109,40.71754834,-74.01322069,40.7277140777778,-74.01129573583603
22,Motorgate,Roosevelt Island Tramway,1103,40.7639089,-73.9477213,40.757284,-73.9536
23,Soissons Landing,Yankee Ferry Terminal,1099,40.69231660719192,-74.01486575603485,40.68706579875912,-74.01675585121666
24,Central Park West & W 68 St,Central Park West & W 68 St,1084,40.7734066,-73.97782542,40.7734066,-73.97782542
25,N 6 St & Bedford Ave,S 4 St & Wythe Ave,1067,40.71745169,-73.95850939,40.71285887,-73.96590294
26,W 22 St & 10 Ave,W 22 St & 8 Ave,1065,40.74691959,-74.00451887,40.74475148,-73.99915362
27,Pier 40 - Hudson River Park,West St & Chambers St,1054,40.7277140777778,-74.01129573583603,40.71754834,-74.01322069
28,Central Park North & Adam Clayton Powell Blvd,Central Park North & Adam Clayton Powell Blvd,1023,40.799484,-73.955613,40.799484,-73.955613
29,Central Park S & 6 Ave,5 Ave & E 87 St,1010,40.76590936,-73.97634151,40.78232260730881,-73.95987510681152
30,Roosevelt Island Tramway,Motorgate,1004,40.757284,-73.9536,40.7639089,-73.9477213
31,Centre St & Chambers St,Centre St & Chambers St,995,40.71273266,-74.0046073,40.71273266,-74.0046073
32,1 Ave & E 68 St,1 Ave & E 78 St,975,40.76500525,-73.95818491,40.77140426,-73.9535166
33,West St & Chambers St,10 Ave & W 14 St,955,40.71754834,-74.01322069,40.74198159994023,-74.00831580162048
34,12 Ave & W 40 St,West St & Chambers St,950,40.76087502,-74.00277668,40.71754834,-74.01322069
35,Amsterdam Ave & W 73 St,Amsterdam Ave & W 79 St,944,40.77966809007312,-73.98093044757842,40.7829391,-73.9786517
36,1 Ave & E 78 St,2 Ave & E 72 St,926,40.77140426,-73.9535166,40.7687620293096,-73.95840793848038
37,Clinton St & Grand St,Henry St & Grand St,923,40.71559509,-73.9870295,40.714211,-73.981095
38,McGuinness Blvd & Eagle St,Vernon Blvd & 50 Ave,921,40.73555,-73.95284,40.74232744,-73.95411749
39,E 72 St & York Ave,2 Ave & E 72 St,919,40.76663814,-73.95348296,40.7687620293096,-73.95840793848038
40,1 Ave & E 78 St,E 77 St & 3 Ave,916,40.77140426,-73.9535166,40.77314236,-73.95856158
41,Grant Ave & E 169 St,Grant Ave & E 169 St,916,40.83579,-73.913741,40.83579,-73.913741
42,Little West St & 1 Pl,West St & Liberty St,910,40.70569254,-74.01677685,40.711444,-74.014847
43,Central Park S & 6 Ave,7 Ave & Central Park South,908,40.76590936,-73.97634151,40.7667405590595,-73.9790689945221
44,Vesey St & Church St,North Moore St & Greenwich St,900,40.71221958009051,-74.01047229766846,40.72019521437465,-74.0103006362915
45,12 Ave & W 40 St,10 Ave & W 14 St,891,40.76087502,-74.00277668,40.74198159994023,-74.00831580162048
46,S 4 St & Wythe Ave,N 6 St & Bedford Ave,884,40.71285887,-73.96590294,40.71745169,-73.95850939
47,46 Ave & 5 St,Vernon Blvd & 50 Ave,876,40.74731,-73.95451,40.74232744,-73.95411749
48,Flatbush Ave & Ocean Ave,Flatbush Ave & Ocean Ave,876,40.663657,-73.963014,40.663657,-73.963014
49,Southpoint Park,Roosevelt Island Tramway,863,40.75370225419114,-73.95865201950072,40.757284,-73.9536
50,W 22 St & 10 Ave,W 21 St & 6 Ave,861,40.74691959,-74.00451887,40.74173969,-73.99415556
51,West St & Chambers St,12 Ave & W 40 St,858,40.71754834,-74.01322069,40.76087502,-74.00277668
52,10 Ave & W 14 St,West St & Chambers St,856,40.74198159994023,-74.00831580162048,40.71754834,-74.01322069
53,Central Park S & 6 Ave,Central Park North & Adam Clayton Powell Blvd,850,40.76590936,-73.97634151,40.799484,-73.955613
54,E 2 St & Avenue C,E 1 St & 1 Ave,845,40.7208736,-73.98085795,40.72335597960796,-73.98864984512329
55,11 Ave & W 41 St,W 34 St & 11 Ave,835,40.76030096,-73.99884222,40.75594159,-74.0021163
56,10 Ave & W 28 St,W 26 St & 8 Ave,829,40.75066386,-74.00176802,40.74734825,-73.99723551
57,1 Ave & E 62 St,1 Ave & E 78 St,828,40.7612274,-73.96094022,40.77140426,-73.9535166
58,Roosevelt Island Tramway,Southpoint Park,828,40.757284,-73.9536,40.75370225419114,-73.95865201950072
59,West St & Liberty St,West St & Chambers St,826,40.711444,-74.014847,40.71754834,-74.01322069
60,W 42 St & 8 Ave,11 Ave & W 41 St,819,40.7575699,-73.99098507,40.76030096,-73.99884222
61,West St & Liberty St,West St & Liberty St,808,40.711444,-74.014847,40.711444,-74.014847
62,Franklin St & Dupont St,Vernon Blvd & 50 Ave,807,40.73564,-73.95866,40.74232744,-73.95411749
63,11 Ave & W 41 St,8 Ave & W 33 St,796,40.76030096,-73.99884222,40.751551,-73.993934
64,Milton St & Franklin St,Kent Ave & N 7 St,789,40.72906,-73.95779,40.72036775298455,-73.96165072917938
65,Vernon Blvd & 50 Ave,McGuinness Blvd & Eagle St,782,40.74232744,-73.95411749,40.73555,-73.95284
66,5 Ave & E 93 St,5 Ave & E 93 St,777,40.7857851,-73.957481,40.7857851,-73.957481
67,Broadway & Berry St,N 6 St & Bedford Ave,769,40.71044554,-73.96525063,40.71745169,-73.95850939
68,Henry St & Grand St,Canal St & Rutgers St,765,40.714211,-73.981095,40.71427487,-73.98990025
69,W 20 St & 10 Ave,W 21 St & 6 Ave,763,40.745686,-74.005141,40.74173969,-73.99415556
70,Center Blvd & 51 Ave,Vernon Blvd & 50 Ave,759,40.74336608027021,-73.95960688591003,40.74232744,-73.95411749
71,5 Ave & E 78 St,5 Ave & E 78 St,757,40.77632142182271,-73.96427392959595,40.77632142182271,-73.96427392959595
72,Canal St & Rutgers St,Henry St & Grand St,754,40.71427487,-73.98990025,40.714211,-73.981095
73,Central Park S & 6 Ave,Central Park West & W 72 St,754,40.76590936,-73.97634151,40.77579376683666,-73.9762057363987
74,Soissons Landing,Picnic Point,742,40.69231660719192,-74.01486575603485,40.68512559515415,-74.02535319328308
75,6 Ave & W 33 St,E 33 St & 1 Ave,741,40.74901271,-73.98848395,40.74322681432173,-73.97449783980846
76,Brooklyn Bridge Park - Pier 2,Brooklyn Bridge Park - Pier 2,739,40.698458,-73.997178,40.698458,-73.997178
77,Central Park S & 6 Ave,5 Ave & E 72 St,732,40.76590936,-73.97634151,40.77282817,-73.96685276
78,W 20 St & 10 Ave,W 20 St & 8 Ave,731,40.745686,-74.005141,40.74345335,-74.00004031
79,Vernon Blvd & 50 Ave,46 Ave & 5 St,730,40.74232744,-73.95411749,40.74731,-73.95451
80,10 Ave & W 14 St,10 Ave & W 14 St,728,40.74198159994023,-74.00831580162048,40.74198159994023,-74.00831580162048
81,West St & Liberty St,Little West St & 1 Pl,728,40.711444,-74.014847,40.70569254,-74.01677685
82,Southpoint Park,Southpoint Park,725,40.75370225419114,-73.95865201950072,40.75370225419114,-73.95865201950072
83,45 Ave & 21 St,46 Ave & 5 St,724,40.74737075646803,-73.94777297973631,40.74731,-73.95451
84,Centre St & Worth St,Centre St & Chambers St,722,40.71494807,-74.00234482,40.71273266,-74.0046073
85,Kent Ave & N 7 St,Milton St & Franklin St,721,40.72036775298455,-73.96165072917938,40.72906,-73.95779
86,W 21 St & 6 Ave,W 15 St & 7 Ave,719,40.74173969,-73.99415556,40.73935542,-73.99931783
87,Picnic Point,Soissons Landing,713,40.68512559515415,-74.02535319328308,40.69231660719192,-74.01486575603485
88,Vernon Blvd & 50 Ave,Franklin St & Dupont St,712,40.74232744,-73.95411749,40.73564,-73.95866
89,W 84 St & Columbus Ave,Columbus Ave & W 72 St,709,40.78499979,-73.97283406,40.7770575,-73.97898475
90,11 Ave & W 41 St,W 42 St & 8 Ave,707,40.76030096,-73.99884222,40.7575699,-73.99098507
91,Greenwich St & W Houston St,Pier 40 - Hudson River Park,706,40.728846,-74.008591,40.7277140777778,-74.01129573583603
92,Riverside Blvd & W 67 St,Riverside Blvd & W 67 St,705,40.777507027547976,-73.98888587951659,40.777507027547976,-73.98888587951659
93,9 Ave & W 22 St,W 21 St & 6 Ave,703,40.7454973,-74.00197139,40.74173969,-73.99415556
94,Grand Army Plaza & Central Park S,5 Ave & E 87 St,701,40.7643971,-73.97371465,40.78232260730881,-73.95987510681152
95,Central Park West & W 85 St,Central Park West & W 85 St,700,40.78476,-73.969862,40.78476,-73.969862
96,S 5 Pl & S 5 St,S 5 Pl & S 5 St,698,40.710451,-73.960876,40.710451,-73.960876
97,North Moore St & Greenwich St,Vesey Pl & River Terrace,696,40.72019521437465,-74.0103006362915,40.7153379,-74.01658354
98,46 Ave & 5 St,45 Ave & 21 St,695,40.74731,-73.95451,40.74737075646803,-73.94777297973631
99,River Ter & Warren St,Vesey Pl & River Terrace,688,40.71759894980997,-74.01587963104248,40.7153379,-74.01658354
