,start_station_name,value
0,1 Ave & E 110 St,5385
1,1 Ave & E 16 St,16918
2,1 Ave & E 18 St,17832
3,1 Ave & E 30 St,11364
4,1 Ave & E 39 St,13119
5,1 Ave & E 44 St,7712
6,1 Ave & E 6 St,14812
7,1 Ave & E 62 St,17094
8,1 Ave & E 68 St,26146
9,1 Ave & E 78 St,17461
10,1 Ave & E 94 St,4992
11,1 Pl & Clinton St,3563
12,1 St & 6 Ave,3106
13,10 Ave & W 14 St,18404
14,10 Ave & W 202 St,213
15,10 Ave & W 204 St,272
16,10 Ave & W 207 St,687
17,10 Ave & W 215 St,349
18,10 Ave & W 28 St,16885
19,10 St & 2 Ave,1784
20,10 St & 5 Ave,3118
21,10 St & 7 Ave,5615
22,11 Ave & Prospect Ave,2137
23,11 Ave & W 27 St,14594
24,11 Ave & W 41 St,21731
25,11 Ave & W 59 St,11750
26,11 St & 43 Ave,1250
27,12 Ave & 36 St,755
28,12 Ave & W 125 St,6052
29,12 Ave & W 40 St,22604
30,12 St & 4 Ave,2554
31,14 St & 5 Ave,4101
32,14 St & 7 Ave,4273
33,16th St & 4th Ave,1381
34,17 St & 5 Ave,3017
35,18 St & 27 Ave,2410
36,19 St & 24 Ave,2415
37,19 St & 8 Ave,557
38,2 Av & 37 St,272
39,2 Ave & 32 St,436
40,2 Ave & 36 St,873
41,2 Ave & 39 St,123
42,2 Ave & 43 St,5
43,2 Ave & 44 St,8
44,2 Ave & E 104 St,3989
45,2 Ave & E 122 St,2307
46,2 Ave & E 125 St,2659
47,2 Ave & E 29 St,16902
48,2 Ave & E 31 St,14916
49,2 Ave & E 55 St,5473
50,2 Ave & E 72 St,15009
51,2 Ave & E 96 St,8456
52,2 Ave & E 99 St,3855
53,20 Ave & 21 St,540
54,20 Ave & 31 St,502
55,20 Ave & 33 St,59
56,20 Ave & 38 St,1696
57,20 Ave & 42 St,584
58,20 Ave & 48 St,551
59,20 Ave & Shore Blvd,514
60,21 Ave & 80 St,413
61,21 Ave & Crescent St,2384
62,21 Ave & Shore Blvd,1017
63,21 St & 21 Ave,1369
64,21 St & 23 Ave,908
65,21 St & 31 Dr,2223
66,21 St & 36 Ave,1122
67,21 St & 38 Ave,746
68,21 St & 4 Ave,1987
69,21 St & 43 Ave,1703
70,21 St & Hoyt Ave S,2787
71,21 St & Queens Plaza North,3290
72,23 Ave & 27 St,1569
73,23 Rd & 31 St,716
74,23 St & 3 Ave,290
75,24 Ave & 26 St,1799
76,24 Ave & 29 St,1803
77,24 St & 38 Ave,1657
78,24 St & 41 Ave,2303
79,24 St & 5 Ave,1522
80,25 Ave & 41 St,2404
81,27 Ave & 3 St,842
82,27 Ave & 9 St,1699
83,27 St & Hunter St,4422
84,28 Ave & 35 St,1998
85,28 Ave & 44 St,1688
86,28 St & 36 Ave,2039
87,28 St & 41 Ave,4058
88,29 St & 5 Ave,627
89,3 Ave & 14 St,980
90,3 Ave & 17 St,510
91,3 Ave & Carroll St,1915
92,3 Ave & E 100 St,2392
93,3 Ave & E 112 St,2446
94,3 Ave & E 163 St,935
95,3 Ave & E 169 St,1726
96,3 Ave & E 170 St,1467
97,3 Ave & E 172 St,798
98,3 Ave & E 174 St,663
99,3 Ave & E 174 St - Bathgate Vaccination Site,134
100,3 Ave & E 62 St,10070
101,3 Ave & E 71 St,5402
102,3 Ave & E 72 St,4118
103,3 Ave & Franklin Ave,721
104,3 Ave & Schermerhorn St,4757
105,3 Ave & Wakeman Pl,491
106,3 St & 3 Ave,3106
107,3 St & 7 Ave,6135
108,3 St & Hoyt St,2048
109,3 St & Prospect Park West,7574
110,30 Ave & 12 St,660
111,30 Ave & 21 St,1634
112,30 Ave & 41 St,2164
113,30 Ave & 47 St,1312
114,30 St & 4 Ave,1045
115,30 St & 48 Ave,290
116,31 Ave & 14 St,1858
117,31 Ave & 30 St,2825
118,31 Ave & 34 St,3760
119,31 Ave & 57 St,584
120,31 Ave & 61 St,613
121,31 Ave & Crescent St,3391
122,31 Ave & Steinway St,3264
123,31 Pl & Hunters Point Ave,165
124,31 Rd & 21 St,1078
125,31 St & 21 Ave,1539
126,31 St & 23 Ave,5008
